data_name,model,seq_len,n_layers,d_model,num_heads,d_ff,patch_size,patch_stride,acc,model_params,model_size (MB)
DuckDuckGeese,PatchTST,270,3,16,4,256,21,11,0.24,2611621,10.29
DuckDuckGeese,PatchTST,270,3,16,4,256,27,14,0.26,2073717,8.24
DuckDuckGeese,PatchTST,270,3,16,4,256,41,21,0.24,1320741,5.36
DuckDuckGeese,PatchTST,270,3,16,4,256,54,27,0.26,1105749,4.54
DuckDuckGeese,PatchTST,270,3,16,4,256,68,34,0.26,783173,3.31
DuckDuckGeese,PatchTST,270,3,16,4,128,7,4,0.26,7225525,27.89
DuckDuckGeese,PatchTST,270,3,16,4,128,14,7,0.26,4105237,15.99
DuckDuckGeese,PatchTST,270,3,16,4,128,21,11,0.24,2598949,10.24
DuckDuckGeese,PatchTST,270,3,16,4,128,27,14,0.22,2061045,8.19
DuckDuckGeese,PatchTST,270,3,16,4,128,41,21,0.26,1308069,5.32
DuckDuckGeese,PatchTST,270,3,16,4,128,54,27,0.26,1093077,4.5
DuckDuckGeese,PatchTST,270,3,16,4,128,68,34,0.26,770501,3.27
DuckDuckGeese,PatchTST,270,3,16,4,64,7,4,0.22,7219189,27.87
DuckDuckGeese,PatchTST,270,3,16,4,64,14,7,0.3,4098901,15.96
DuckDuckGeese,PatchTST,270,3,16,4,64,21,11,0.2,2592613,10.22
DuckDuckGeese,PatchTST,270,3,16,4,64,27,14,0.22,2054709,8.16
DuckDuckGeese,PatchTST,270,3,16,4,64,41,21,0.24,1301733,5.29
DuckDuckGeese,PatchTST,270,3,16,4,64,54,27,0.24,1086741,4.47
DuckDuckGeese,PatchTST,270,3,16,4,64,68,34,0.28,764165,3.24
DuckDuckGeese,PatchTST,270,2,128,16,256,7,4,0.24,57939717,223.48
DuckDuckGeese,PatchTST,270,2,128,16,256,14,7,0.26,32977413,128.26
DuckDuckGeese,PatchTST,270,2,128,16,256,21,11,0.22,20927109,82.29
DuckDuckGeese,PatchTST,270,2,128,16,256,27,14,0.28,16623877,65.87
DuckDuckGeese,PatchTST,270,2,128,16,256,41,21,0.26,10600069,42.89
DuckDuckGeese,PatchTST,270,2,128,16,256,54,27,0.24,8880133,36.33
DuckDuckGeese,PatchTST,270,2,128,16,256,68,34,0.24,6299525,26.49
DuckDuckGeese,PatchTST,270,2,128,16,128,7,4,0.26,57873925,223.23
DuckDuckGeese,PatchTST,270,2,128,16,128,14,7,0.28,32911621,128.01
DuckDuckGeese,PatchTST,270,2,128,16,128,21,11,0.24,20861317,82.04
DuckDuckGeese,PatchTST,270,2,128,16,128,27,14,0.2,16558085,65.62
DuckDuckGeese,PatchTST,270,2,128,16,128,41,21,0.2,10534277,42.64
DuckDuckGeese,PatchTST,270,2,128,16,128,54,27,0.28,8814341,36.08
DuckDuckGeese,PatchTST,270,2,128,16,128,68,34,0.24,6233733,26.24
DuckDuckGeese,PatchTST,270,2,128,16,64,7,4,0.26,57841029,223.1
DuckDuckGeese,PatchTST,270,2,128,16,64,14,7,0.26,32878725,127.88
DuckDuckGeese,PatchTST,270,2,128,16,64,21,11,0.22,20828421,81.91
DuckDuckGeese,PatchTST,270,2,128,16,64,27,14,0.22,16525189,65.5
DuckDuckGeese,PatchTST,270,2,128,16,64,41,21,0.24,10501381,42.52
DuckDuckGeese,PatchTST,270,2,128,16,64,54,27,0.28,8781445,35.96
DuckDuckGeese,PatchTST,270,2,128,16,64,68,34,0.22,6200837,26.11
DuckDuckGeese,PatchTST,270,2,64,16,256,7,4,0.24,28937349,111.62
DuckDuckGeese,PatchTST,270,2,64,16,256,14,7,0.22,16456197,64.01
DuckDuckGeese,PatchTST,270,2,64,16,256,21,11,0.24,10431045,41.03
DuckDuckGeese,PatchTST,270,2,64,16,256,27,14,0.22,8279429,32.82
DuckDuckGeese,PatchTST,270,2,64,16,256,41,21,0.18,5267525,21.33
DuckDuckGeese,PatchTST,270,2,64,16,256,54,27,0.22,4407557,18.05
DuckDuckGeese,PatchTST,270,2,64,16,256,68,34,0.2,3117253,13.13
DuckDuckGeese,PatchTST,270,2,64,16,128,7,4,0.26,28904325,111.5
DuckDuckGeese,PatchTST,270,2,64,16,128,14,7,0.24,16423173,63.89
DuckDuckGeese,PatchTST,270,2,64,16,128,21,11,0.22,10398021,40.9
DuckDuckGeese,PatchTST,270,2,64,16,128,27,14,0.18,8246405,32.69
DuckDuckGeese,PatchTST,270,2,64,16,128,41,21,0.26,5234501,21.2
DuckDuckGeese,PatchTST,270,2,64,16,128,54,27,0.2,4374533,17.92
DuckDuckGeese,PatchTST,270,2,64,16,128,68,34,0.18,3084229,13.0
DuckDuckGeese,PatchTST,270,2,64,16,64,7,4,0.26,28887813,111.43
DuckDuckGeese,PatchTST,270,2,64,16,64,14,7,0.26,16406661,63.82
DuckDuckGeese,PatchTST,270,2,64,16,64,21,11,0.24,10381509,40.84
DuckDuckGeese,PatchTST,270,2,64,16,64,27,14,0.2,8229893,32.63
DuckDuckGeese,PatchTST,270,2,64,16,64,41,21,0.24,5217989,21.14
DuckDuckGeese,PatchTST,270,2,64,16,64,54,27,0.26,4358021,17.86
DuckDuckGeese,PatchTST,270,2,64,16,64,68,34,0.2,3067717,12.94
DuckDuckGeese,PatchTST,270,2,32,4,256,7,4,0.26,14460741,55.79
DuckDuckGeese,PatchTST,270,2,32,4,256,14,7,0.26,8220165,31.98
DuckDuckGeese,PatchTST,270,2,32,4,256,21,11,0.26,5207589,20.49
DuckDuckGeese,PatchTST,270,2,32,4,256,27,14,0.2,4131781,16.39
DuckDuckGeese,PatchTST,270,2,32,4,256,41,21,0.24,2625829,10.64
DuckDuckGeese,PatchTST,270,2,32,4,256,54,27,0.24,2195845,9.0
DuckDuckGeese,PatchTST,270,2,32,4,256,68,34,0.2,1550693,6.54
DuckDuckGeese,PatchTST,270,2,32,4,128,7,4,0.2,14444101,55.73
DuckDuckGeese,PatchTST,270,2,32,4,128,14,7,0.24,8203525,31.92
DuckDuckGeese,PatchTST,270,2,32,4,128,21,11,0.24,5190949,20.43
DuckDuckGeese,PatchTST,270,2,32,4,128,27,14,0.22,4115141,16.32
DuckDuckGeese,PatchTST,270,2,32,4,128,41,21,0.24,2609189,10.58
