model,dnn_type,dataset,lambda_reg,lambda_div,epsilon,num_shapelet,gating_value,pos_weight,beta_schedule,lr,train_epochs,seed,test_accuracy,epoch_stop,eta_mean,eta_std,eta_count,shapelet_score,w_sum_10,w_mean_10,w_sum_5,w_mean_5,w_sum_1,w_mean_1,w_max,w_gini_clip,w_gini_abs
InterpGN,FCN,ArticularyWordRecognition,0.1,0.0,1.0,10,1.0,False,constant,0.005,500,0,0.99,164,0.8906131982803345,0.1496735215187072,0.0,0.0368024855852127,4.0,0.0002962962898891,247.0,0.0182962957769632,5681.0,0.4208148121833801,1.1284401416778564,0.7374249329657582,0.5110185355280998
InterpGN,FCN,ArticularyWordRecognition,0.0,0.1,1.0,10,1.0,False,constant,0.005,500,0,0.99,163,0.8920996189117432,0.1487202197313308,0.0,0.0380962081253528,4.0,0.0002962962898891,250.0,0.0185185186564922,5813.0,0.4305925965309143,1.1236960887908936,0.7311001019635952,0.4994913298383726
InterpGN,FCN,ArticularyWordRecognition,0.1,0.1,1.0,10,1.0,False,constant,0.005,500,0,0.99,161,0.8890537619590759,0.1489438265562057,0.0,0.0369707867503166,3.0,0.0002222222246928,235.0,0.0174074079841375,5660.0,0.419259250164032,1.1197261810302734,0.7370601325124678,0.5103899518042117
InterpGN,FCN,ArticularyWordRecognition,0.1,0.1,1.0,10,1.0,False,cosine,0.005,500,0,0.99,164,0.8868902325630188,0.1512881070375442,0.0,0.036870501935482,3.0,0.0002222222246928,233.0,0.0172592587769031,5646.0,0.4182222187519073,1.1176869869232178,0.7374052925116034,0.5109654695435271
InterpGN,FCN,ArticularyWordRecognition,0.1,0.1,2.0,10,1.0,False,constant,0.005,500,0,0.9966666666666668,221,0.968200981616974,0.0888027399778366,0.0,0.0285263061523437,46.0,0.0034074073191732,968.0,0.07170370221138,6530.0,0.4837037026882171,2.278482913970948,0.8091327008411511,0.5994556918177577
InterpGN,FCN,ArticularyWordRecognition,0.1,0.1,5.0,10,1.0,False,constant,0.005,500,0,0.99,132,0.5383197069168091,0.2779232859611511,0.0,0.0062313606031239,492.0,0.0364444442093372,1061.0,0.0785925909876823,1731.0,0.1282222270965576,3.2132821083068848,0.9611391977472178,0.917014956223676
InterpGN,FCN,ArticularyWordRecognition,0.1,0.1,10.0,10,1.0,False,constant,0.005,500,0,0.99,153,0.0137539478018879,0.0104676764458417,0.0,0.0009147012024186,156.0,0.0115555552765727,175.0,0.012962962500751,197.0,0.0145925926044583,5.68416166305542,0.9366649125732036,0.9732450873975954
InterpGN,FCN,ArticularyWordRecognition,0.1,0.1,0.5,10,1.0,False,constant,0.005,500,0,0.9866666666666668,229,0.7147801518440247,0.2068762183189392,0.0,0.0777308195829391,7.0,0.00051851850003,454.0,0.0336296297609806,5998.0,0.4442963004112243,1.312315821647644,0.7384616722504991,0.524025674317178
InterpGN,FCN,ArticularyWordRecognition,0.1,0.1,1.0,10,0.5,False,constant,0.005,500,0,0.99,0,0.976776123046875,0.1275544911623001,0.9666666388511658,0.0369707904756069,3.0,0.0002222222246928,235.0,0.0174074079841375,5660.0,0.419259250164032,1.1197261810302734,0.7370601325124678,0.5103899518042117
InterpGN,FCN,ArticularyWordRecognition,0.1,0.1,1.0,10,0.6,False,constant,0.005,500,0,0.99,0,0.9649328589439392,0.1444922834634781,0.9399999976158142,0.0369707904756069,3.0,0.0002222222246928,235.0,0.0174074079841375,5660.0,0.419259250164032,1.1197261810302734,0.7370601325124678,0.5103899518042117
InterpGN,FCN,ArticularyWordRecognition,0.1,0.1,1.0,10,0.7,False,constant,0.005,500,0,0.99,0,0.954495131969452,0.1539383977651596,0.9100000262260436,0.0369707904756069,3.0,0.0002222222246928,235.0,0.0174074079841375,5660.0,0.419259250164032,1.1197261810302734,0.7370601325124678,0.5103899518042117
InterpGN,FCN,ArticularyWordRecognition,0.1,0.1,1.0,10,0.8,False,constant,0.005,500,0,0.99,0,0.9386202096939088,0.1607025116682052,0.8433333039283752,0.0369707904756069,3.0,0.0002222222246928,235.0,0.0174074079841375,5660.0,0.419259250164032,1.1197261810302734,0.7370601325124678,0.5103899518042117
InterpGN,FCN,ArticularyWordRecognition,0.1,0.1,1.0,10,0.9,False,constant,0.005,500,0,0.99,0,0.9148147702217102,0.1606625020503997,0.6733333468437195,0.0369707904756069,3.0,0.0002222222246928,235.0,0.0174074079841375,5660.0,0.419259250164032,1.1197261810302734,0.7370601325124678,0.5103899518042117
InterpGN,FCN,ArticularyWordRecognition,0.5,0.1,1.0,10,1.0,False,constant,0.005,500,0,0.99,164,0.8801841139793396,0.1535767912864685,0.0,0.0332448258996009,4.0,0.0002962962898891,228.0,0.0168888885527849,5151.0,0.3815555572509765,1.1352962255477903,0.7630590527726722,0.5572796245443835
InterpGN,FCN,ArticularyWordRecognition,1.0,0.1,1.0,10,1.0,False,constant,0.005,500,0,0.99,177,0.87490314245224,0.1550573259592056,0.0,0.0285987444221973,4.0,0.0002962962898891,241.0,0.0178518518805503,4546.0,0.3367407321929931,1.181943416595459,0.801442613710053,0.625521228262688
InterpGN,FCN,ArticularyWordRecognition,10.0,0.1,1.0,10,1.0,False,constant,0.005,500,0,0.99,381,0.7352859377861023,0.1932237148284912,0.0,0.0090702911838889,94.0,0.0069629629142582,372.0,0.0275555551052093,820.0,0.0607407391071319,2.3523874282836914,0.958448118685969,0.936341933695841
InterpGN,FCN,ArticularyWordRecognition,5.0,0.1,1.0,10,1.0,False,constant,0.005,500,0,0.9866666666666668,375,0.8107849955558777,0.1737480759620666,0.0,0.0106285102665424,70.0,0.0051851850003004,419.0,0.0310370363295078,1223.0,0.0905925929546356,2.109337568283081,0.956419459235192,0.9245039570341664
InterpGN,FCN,ArticularyWordRecognition,0.1,1.0,1.0,10,1.0,False,constant,0.005,500,0,0.99,161,0.8884760737419128,0.1492926180362701,0.0,0.0385438986122608,3.0,0.0002222222246928,236.0,0.0174814816564321,5701.0,0.4222962856292724,1.1197367906570437,0.7370643218990071,0.5097211037231343
