data_name,model,seq_len,n_layers,d_model,inception_filters,inception_num_kernels,top_k,acc,model_params,model_size (MB)
MotorImagery,TimesNet,3000,4,8,32,6,3,0.65,636274,2.61
MotorImagery,TimesNet,3000,4,8,32,4,3,0.58,222258,1.03
MotorImagery,TimesNet,3000,4,8,32,6,2,0.65,636274,2.61
MotorImagery,TimesNet,3000,4,8,32,4,2,0.6,222258,1.03
MotorImagery,TimesNet,3000,4,8,32,6,1,0.64,636274,2.61
MotorImagery,TimesNet,3000,4,8,32,4,1,0.62,222258,1.03
MotorImagery,TimesNet,3000,4,8,16,6,3,0.54,343026,1.5
MotorImagery,TimesNet,3000,4,8,16,4,3,0.59,135986,0.7
MotorImagery,TimesNet,3000,4,8,16,6,2,0.54,343026,1.5
MotorImagery,TimesNet,3000,4,8,16,4,2,0.59,135986,0.7
MotorImagery,TimesNet,3000,4,8,16,6,1,0.57,343026,1.5
MotorImagery,TimesNet,3000,4,8,16,4,1,0.58,135986,0.7
MotorImagery,TimesNet,3000,3,128,256,6,3,0.61,57030146,220.02
MotorImagery,TimesNet,3000,3,128,256,4,3,0.61,17313026,68.51
MotorImagery,TimesNet,3000,3,128,256,6,2,0.61,57030146,220.02
MotorImagery,TimesNet,3000,3,128,256,4,2,0.58,17313026,68.51
MotorImagery,TimesNet,3000,3,128,256,6,1,0.6,57030146,220.02
MotorImagery,TimesNet,3000,3,128,256,4,1,0.58,17313026,68.51
MotorImagery,TimesNet,3000,3,128,128,6,3,0.59,28912898,112.76
MotorImagery,TimesNet,3000,3,128,128,4,3,0.59,9053954,37.0
MotorImagery,TimesNet,3000,3,128,128,6,2,0.59,28912898,112.76
MotorImagery,TimesNet,3000,3,128,128,4,2,0.59,9053954,37.0
MotorImagery,TimesNet,3000,3,128,128,6,1,0.6,28912898,112.76
MotorImagery,TimesNet,3000,3,128,128,4,1,0.58,9053954,37.0
MotorImagery,TimesNet,3000,3,64,256,6,3,0.59,28517378,110.03
MotorImagery,TimesNet,3000,3,64,256,4,3,0.58,8658050,34.27
MotorImagery,TimesNet,3000,3,64,256,6,2,0.59,28517378,110.03
MotorImagery,TimesNet,3000,3,64,256,4,2,0.58,8658050,34.27
MotorImagery,TimesNet,3000,3,64,256,6,1,0.59,28517378,110.03
MotorImagery,TimesNet,3000,3,64,256,4,1,0.57,8658050,34.27
MotorImagery,TimesNet,3000,3,64,128,6,3,0.64,14457602,56.4
MotorImagery,TimesNet,3000,3,64,128,4,3,0.58,4527746,18.51
MotorImagery,TimesNet,3000,3,64,128,6,2,0.64,14457602,56.4
MotorImagery,TimesNet,3000,3,64,128,4,2,0.6,4527746,18.51
MotorImagery,TimesNet,3000,3,64,128,6,1,0.65,14457602,56.4
MotorImagery,TimesNet,3000,3,64,128,4,1,0.6,4527746,18.51
MotorImagery,TimesNet,3000,3,64,64,6,3,0.63,7427714,29.58
MotorImagery,TimesNet,3000,3,64,64,4,3,0.68,2462594,10.63
MotorImagery,TimesNet,3000,3,64,64,6,2,0.62,7427714,29.58
MotorImagery,TimesNet,3000,3,64,64,4,2,0.68,2462594,10.63
MotorImagery,TimesNet,3000,3,64,64,6,1,0.62,7427714,29.58
MotorImagery,TimesNet,3000,3,64,64,4,1,0.68,2462594,10.63
MotorImagery,TimesNet,3000,3,32,128,6,3,0.56,7229954,28.22
MotorImagery,TimesNet,3000,3,32,128,4,3,0.59,2264642,9.27
MotorImagery,TimesNet,3000,3,32,128,6,2,0.61,7229954,28.22
MotorImagery,TimesNet,3000,3,32,128,4,2,0.55,2264642,9.27
MotorImagery,TimesNet,3000,3,32,128,6,1,0.58,7229954,28.22
MotorImagery,TimesNet,3000,3,32,128,4,1,0.56,2264642,9.27
MotorImagery,TimesNet,3000,3,32,64,6,3,0.56,3714434,14.81
MotorImagery,TimesNet,3000,3,32,64,4,3,0.6,1231682,5.33
MotorImagery,TimesNet,3000,3,32,64,6,2,0.56,3714434,14.81
MotorImagery,TimesNet,3000,3,32,64,4,2,0.59,1231682,5.33
MotorImagery,TimesNet,3000,3,32,64,6,1,0.56,3714434,14.81
MotorImagery,TimesNet,3000,3,32,64,4,1,0.58,1231682,5.33
MotorImagery,TimesNet,3000,3,32,32,6,3,0.53,1956674,8.1
MotorImagery,TimesNet,3000,3,32,32,4,3,0.6,715202,3.36
MotorImagery,TimesNet,3000,3,32,32,6,2,0.56,1956674,8.1
MotorImagery,TimesNet,3000,3,32,32,4,2,0.6,715202,3.36
MotorImagery,TimesNet,3000,3,32,32,6,1,0.54,1956674,8.1
MotorImagery,TimesNet,3000,3,32,32,4,1,0.61,715202,3.36
MotorImagery,TimesNet,3000,3,16,64,6,3,0.6,1857794,7.42
MotorImagery,TimesNet,3000,3,16,64,4,3,0.59,616226,2.68
MotorImagery,TimesNet,3000,3,16,64,6,2,0.59,1857794,7.42
MotorImagery,TimesNet,3000,3,16,64,4,2,0.59,616226,2.68
MotorImagery,TimesNet,3000,3,16,64,6,1,0.59,1857794,7.42
MotorImagery,TimesNet,3000,3,16,64,4,1,0.59,616226,2.68
MotorImagery,TimesNet,3000,3,16,32,6,3,0.67,978626,4.07
MotorImagery,TimesNet,3000,3,16,32,4,3,0.59,357794,1.69
MotorImagery,TimesNet,3000,3,16,32,6,2,0.67,978626,4.07
MotorImagery,TimesNet,3000,3,16,32,4,2,0.58,357794,1.69
MotorImagery,TimesNet,3000,3,16,32,6,1,0.68,978626,4.07
MotorImagery,TimesNet,3000,3,16,32,4,1,0.61,357794,1.69
MotorImagery,TimesNet,3000,3,16,16,6,3,0.58,539042,2.39
MotorImagery,TimesNet,3000,3,16,16,4,3,0.56,228578,1.2
MotorImagery,TimesNet,3000,3,16,16,6,2,0.58,539042,2.39
MotorImagery,TimesNet,3000,3,16,16,4,2,0.56,228578,1.2
MotorImagery,TimesNet,3000,3,16,16,6,1,0.58,539042,2.39
MotorImagery,TimesNet,3000,3,16,16,4,1,0.55,228578,1.2
MotorImagery,TimesNet,3000,3,8,64,6,3,0.62,929474,3.73
MotorImagery,TimesNet,3000,3,8,64,4,3,0.53,308498,1.35
MotorImagery,TimesNet,3000,3,8,64,6,2,0.55,929474,3.73
MotorImagery,TimesNet,3000,3,8,64,4,2,0.54,308498,1.35
MotorImagery,TimesNet,3000,3,8,64,6,1,0.56,929474,3.73
MotorImagery,TimesNet,3000,3,8,64,4,1,0.55,308498,1.35
MotorImagery,TimesNet,3000,3,8,32,6,3,0.59,489602,2.05
MotorImagery,TimesNet,3000,3,8,32,4,3,0.57,179090,0.85
MotorImagery,TimesNet,3000,3,8,32,6,2,0.6,489602,2.05
MotorImagery,TimesNet,3000,3,8,32,4,2,0.57,179090,0.85
MotorImagery,TimesNet,3000,3,8,32,6,1,0.55,489602,2.05
MotorImagery,TimesNet,3000,3,8,32,4,1,0.57,179090,0.85
MotorImagery,TimesNet,3000,3,8,16,6,3,0.59,269666,1.21
MotorImagery,TimesNet,3000,3,8,16,4,3,0.53,114386,0.61
MotorImagery,TimesNet,3000,3,8,16,6,2,0.59,269666,1.21
MotorImagery,TimesNet,3000,3,8,16,4,2,0.55,114386,0.61
MotorImagery,TimesNet,3000,3,8,16,6,1,0.6,269666,1.21
MotorImagery,TimesNet,3000,3,8,16,4,1,0.55,114386,0.61
MotorImagery,TimesNet,3000,2,128,256,6,3,0.55,38284546,148.5
MotorImagery,TimesNet,3000,2,128,256,4,3,0.61,11806466,47.49
MotorImagery,TimesNet,3000,2,128,256,6,2,0.55,38284546,148.5
MotorImagery,TimesNet,3000,2,128,256,4,2,0.59,11806466,47.49
MotorImagery,TimesNet,3000,2,128,256,6,1,0.55,38284546,148.5
MotorImagery,TimesNet,3000,2,128,256,4,1,0.6,11806466,47.49
MotorImagery,TimesNet,3000,2,128,128,6,3,0.56,19539714,77.0
MotorImagery,TimesNet,3000,2,128,128,4,3,0.62,6300418,26.49
MotorImagery,TimesNet,3000,2,128,128,6,2,0.55,19539714,77.0
MotorImagery,TimesNet,3000,2,128,128,4,2,0.62,6300418,26.49
MotorImagery,TimesNet,3000,2,128,128,6,1,0.56,19539714,77.0
MotorImagery,TimesNet,3000,2,128,128,4,1,0.62,6300418,26.49
MotorImagery,TimesNet,3000,2,64,256,6,3,0.62,19143810,74.27
MotorImagery,TimesNet,3000,2,64,256,4,3,0.58,5904258,23.76
MotorImagery,TimesNet,3000,2,64,256,6,2,0.63,19143810,74.27
MotorImagery,TimesNet,3000,2,64,256,4,2,0.57,5904258,23.76
MotorImagery,TimesNet,3000,2,64,256,6,1,0.61,19143810,74.27
MotorImagery,TimesNet,3000,2,64,256,4,1,0.64,5904258,23.76
MotorImagery,TimesNet,3000,2,64,128,6,3,0.56,9770626,38.51
MotorImagery,TimesNet,3000,2,64,128,4,3,0.59,3150722,13.25
MotorImagery,TimesNet,3000,2,64,128,6,2,0.56,9770626,38.51
MotorImagery,TimesNet,3000,2,64,128,4,2,0.57,3150722,13.25
MotorImagery,TimesNet,3000,2,64,128,6,1,0.56,9770626,38.51
MotorImagery,TimesNet,3000,2,64,128,4,1,0.57,3150722,13.25
MotorImagery,TimesNet,3000,2,64,64,6,3,0.6,5084034,20.63
MotorImagery,TimesNet,3000,2,64,64,4,3,0.56,1773954,8.0
MotorImagery,TimesNet,3000,2,64,64,6,2,0.59,5084034,20.63
MotorImagery,TimesNet,3000,2,64,64,4,2,0.56,1773954,8.0
MotorImagery,TimesNet,3000,2,64,64,6,1,0.6,5084034,20.63
MotorImagery,TimesNet,3000,2,64,64,4,1,0.56,1773954,8.0
MotorImagery,TimesNet,3000,2,32,128,6,3,0.61,4886082,19.27
MotorImagery,TimesNet,3000,2,32,128,4,3,0.6,1575874,6.64
MotorImagery,TimesNet,3000,2,32,128,6,2,0.59,4886082,19.27
MotorImagery,TimesNet,3000,2,32,128,4,2,0.6,1575874,6.64
MotorImagery,TimesNet,3000,2,32,128,6,1,0.57,4886082,19.27
MotorImagery,TimesNet,3000,2,32,128,4,1,0.6,1575874,6.64
MotorImagery,TimesNet,3000,2,32,64,6,3,0.58,2542402,10.33
MotorImagery,TimesNet,3000,2,32,64,4,3,0.59,887234,4.01
MotorImagery,TimesNet,3000,2,32,64,6,2,0.59,2542402,10.33
MotorImagery,TimesNet,3000,2,32,64,4,2,0.63,887234,4.01
MotorImagery,TimesNet,3000,2,32,64,6,1,0.59,2542402,10.33
MotorImagery,TimesNet,3000,2,32,64,4,1,0.59,887234,4.01
MotorImagery,TimesNet,3000,2,32,32,6,3,0.59,1370562,5.86
MotorImagery,TimesNet,3000,2,32,32,4,3,0.59,542914,2.7
MotorImagery,TimesNet,3000,2,32,32,6,2,0.58,1370562,5.86
MotorImagery,TimesNet,3000,2,32,32,4,2,0.59,542914,2.7
MotorImagery,TimesNet,3000,2,32,32,6,1,0.58,1370562,5.86
MotorImagery,TimesNet,3000,2,32,32,4,1,0.6,542914,2.7
MotorImagery,TimesNet,3000,2,16,64,6,3,0.54,1271586,5.18
MotorImagery,TimesNet,3000,2,16,64,4,3,0.56,443874,2.01
MotorImagery,TimesNet,3000,2,16,64,6,2,0.54,1271586,5.18
MotorImagery,TimesNet,3000,2,16,64,4,2,0.58,443874,2.01
MotorImagery,TimesNet,3000,2,16,64,6,1,0.55,1271586,5.18
MotorImagery,TimesNet,3000,2,16,64,4,1,0.55,443874,2.01
MotorImagery,TimesNet,3000,2,16,32,6,3,0.58,685474,2.94
MotorImagery,TimesNet,3000,2,16,32,4,3,0.6,271586,1.36
MotorImagery,TimesNet,3000,2,16,32,6,2,0.58,685474,2.94
MotorImagery,TimesNet,3000,2,16,32,4,2,0.59,271586,1.36
MotorImagery,TimesNet,3000,2,16,32,6,1,0.59,685474,2.94
MotorImagery,TimesNet,3000,2,16,32,4,1,0.6,271586,1.36
MotorImagery,TimesNet,3000,2,16,16,6,3,0.57,392418,1.82
MotorImagery,TimesNet,3000,2,16,16,4,3,0.63,185442,1.03
MotorImagery,TimesNet,3000,2,16,16,6,2,0.56,392418,1.82
