data_name,model,seq_len,moving_average,moving_average_ratio,acc,model_params,model_size (MB)
JapaneseVowels,DLinear,29,15,0.5172413793103449,0.9648648648648649,4881,0.02
JapaneseVowels,DLinear,29,14,0.4827586206896552,0.9648648648648649,4881,0.02
JapaneseVowels,DLinear,29,12,0.41379310344827586,0.9621621621621622,4881,0.02
JapaneseVowels,DLinear,29,11,0.3793103448275862,0.9648648648648649,4881,0.02
JapaneseVowels,DLinear,29,9,0.3103448275862069,0.9648648648648649,4881,0.02
JapaneseVowels,DLinear,29,8,0.27586206896551724,0.9648648648648649,4881,0.02
JapaneseVowels,DLinear,29,6,0.20689655172413793,0.9648648648648649,4881,0.02
JapaneseVowels,DLinear,29,5,0.1724137931034483,0.9648648648648649,4881,0.02
JapaneseVowels,DLinear,29,3,0.10344827586206896,0.9648648648648649,4881,0.02
JapaneseVowels,DLinear,29,2,0.06896551724137931,0.9648648648648649,4881,0.02
JapaneseVowels,DLinear,29,1,0.034482758620689655,0.9621621621621622,4881,0.02
