data_name,model,seq_len,moving_average,moving_average_ratio,acc,model_params,model_size (MB)
DuckDuckGeese,DLinear,270,135,0.5,0.64,1962095,7.49
DuckDuckGeese,DLinear,270,122,0.45185185185185184,0.66,1962095,7.49
DuckDuckGeese,DLinear,270,108,0.4,0.64,1962095,7.49
DuckDuckGeese,DLinear,270,95,0.35185185185185186,0.66,1962095,7.49
DuckDuckGeese,DLinear,270,81,0.3,0.64,1962095,7.49
DuckDuckGeese,DLinear,270,68,0.2518518518518518,0.64,1962095,7.49
DuckDuckGeese,DLinear,270,54,0.2,0.66,1962095,7.49
DuckDuckGeese,DLinear,270,41,0.15185185185185185,0.66,1962095,7.49
DuckDuckGeese,DLinear,270,27,0.1,0.66,1962095,7.49
DuckDuckGeese,DLinear,270,14,0.05185185185185185,0.64,1962095,7.49
DuckDuckGeese,DLinear,270,11,0.040740740740740744,0.64,1962095,7.49
DuckDuckGeese,DLinear,270,9,0.03333333333333333,0.66,1962095,7.49
DuckDuckGeese,DLinear,270,6,0.022222222222222223,0.66,1962095,7.49
DuckDuckGeese,DLinear,270,3,0.011111111111111112,0.64,1962095,7.49
DuckDuckGeese,DLinear,270,2,0.007407407407407408,0.64,1962095,7.49
