data_name,model,seq_len,moving_average,moving_average_ratio,acc,model_params,model_size (MB)
Epilepsy,DLinear,206,103,0.5,0.6231884057971014,87760,0.34
Epilepsy,DLinear,206,93,0.45145631067961167,0.6159420289855072,87760,0.34
Epilepsy,DLinear,206,83,0.4029126213592233,0.6231884057971014,87760,0.34
Epilepsy,DLinear,206,73,0.35436893203883496,0.5797101449275363,87760,0.34
Epilepsy,DLinear,206,62,0.30097087378640774,0.6376811594202898,87760,0.34
Epilepsy,DLinear,206,52,0.2524271844660194,0.6376811594202898,87760,0.34
Epilepsy,DLinear,206,42,0.20388349514563106,0.6521739130434783,87760,0.34
Epilepsy,DLinear,206,31,0.15048543689320387,0.644927536231884,87760,0.34
Epilepsy,DLinear,206,21,0.10194174757281553,0.6521739130434783,87760,0.34
Epilepsy,DLinear,206,11,0.05339805825242718,0.6304347826086957,87760,0.34
Epilepsy,DLinear,206,9,0.043689320388349516,0.6304347826086957,87760,0.34
Epilepsy,DLinear,206,7,0.03398058252427184,0.644927536231884,87760,0.34
Epilepsy,DLinear,206,5,0.024271844660194174,0.644927536231884,87760,0.34
Epilepsy,DLinear,206,3,0.014563106796116505,0.6231884057971014,87760,0.34
Epilepsy,DLinear,206,2,0.009708737864077669,0.6304347826086957,87760,0.34
