data_name,model,seq_len,d_model,n_heads,e_layers,d_layers,d_ff,top_k,acc,model_params,model_size (MB)
FingerMovements,ETSformer,50,128,8,2,2,64,2,0.58,139010,2.99
FingerMovements,ETSformer,50,128,8,2,2,64,1,0.62,139010,2.99
FingerMovements,ETSformer,50,64,8,2,2,2048,4,0.59,561154,3.38
FingerMovements,ETSformer,50,64,8,2,2,2048,3,0.58,561154,3.38
FingerMovements,ETSformer,50,64,8,2,2,2048,2,0.59,561154,3.38
FingerMovements,ETSformer,50,64,8,2,2,2048,1,0.58,561154,3.38
FingerMovements,ETSformer,50,64,8,2,2,1024,4,0.63,299010,2.38
FingerMovements,ETSformer,50,64,8,2,2,1024,3,0.64,299010,2.38
FingerMovements,ETSformer,50,64,8,2,2,1024,2,0.64,299010,2.38
FingerMovements,ETSformer,50,64,8,2,2,1024,1,0.59,299010,2.38
FingerMovements,ETSformer,50,64,8,2,2,512,4,0.56,167938,1.88
FingerMovements,ETSformer,50,64,8,2,2,512,3,0.63,167938,1.88
FingerMovements,ETSformer,50,64,8,2,2,512,2,0.62,167938,1.88
FingerMovements,ETSformer,50,64,8,2,2,512,1,0.62,167938,1.88
FingerMovements,ETSformer,50,64,8,2,2,256,4,0.58,102402,1.63
FingerMovements,ETSformer,50,64,8,2,2,256,3,0.56,102402,1.63
FingerMovements,ETSformer,50,64,8,2,2,256,2,0.57,102402,1.63
FingerMovements,ETSformer,50,64,8,2,2,256,1,0.55,102402,1.63
FingerMovements,ETSformer,50,64,8,2,2,128,4,0.58,69634,1.5
FingerMovements,ETSformer,50,64,8,2,2,128,3,0.58,69634,1.5
FingerMovements,ETSformer,50,64,8,2,2,128,2,0.58,69634,1.5
FingerMovements,ETSformer,50,64,8,2,2,128,1,0.57,69634,1.5
FingerMovements,ETSformer,50,64,8,2,2,64,4,0.58,53250,1.44
FingerMovements,ETSformer,50,64,8,2,2,64,3,0.56,53250,1.44
FingerMovements,ETSformer,50,64,8,2,2,64,2,0.61,53250,1.44
FingerMovements,ETSformer,50,64,8,2,2,64,1,0.59,53250,1.44
FingerMovements,ETSformer,50,32,8,2,2,2048,4,0.55,276610,1.68
FingerMovements,ETSformer,50,32,8,2,2,2048,3,0.56,276610,1.68
FingerMovements,ETSformer,50,32,8,2,2,2048,2,0.62,276610,1.68
FingerMovements,ETSformer,50,32,8,2,2,2048,1,0.64,276610,1.68
FingerMovements,ETSformer,50,32,8,2,2,1024,4,0.55,145538,1.18
FingerMovements,ETSformer,50,32,8,2,2,1024,3,0.57,145538,1.18
FingerMovements,ETSformer,50,32,8,2,2,1024,2,0.6,145538,1.18
FingerMovements,ETSformer,50,32,8,2,2,1024,1,0.63,145538,1.18
FingerMovements,ETSformer,50,32,8,2,2,512,4,0.53,80002,0.93
FingerMovements,ETSformer,50,32,8,2,2,512,3,0.58,80002,0.93
FingerMovements,ETSformer,50,32,8,2,2,512,2,0.56,80002,0.93
FingerMovements,ETSformer,50,32,8,2,2,512,1,0.62,80002,0.93
FingerMovements,ETSformer,50,32,8,2,2,256,4,0.59,47234,0.81
FingerMovements,ETSformer,50,32,8,2,2,256,3,0.55,47234,0.81
FingerMovements,ETSformer,50,32,8,2,2,256,2,0.57,47234,0.81
FingerMovements,ETSformer,50,32,8,2,2,256,1,0.53,47234,0.81
FingerMovements,ETSformer,50,32,8,2,2,128,4,0.52,30850,0.75
FingerMovements,ETSformer,50,32,8,2,2,128,3,0.53,30850,0.75
FingerMovements,ETSformer,50,32,8,2,2,128,2,0.53,30850,0.75
FingerMovements,ETSformer,50,32,8,2,2,128,1,0.5,30850,0.75
FingerMovements,ETSformer,50,32,8,2,2,64,4,0.6,22658,0.71
FingerMovements,ETSformer,50,32,8,2,2,64,3,0.6,22658,0.71
FingerMovements,ETSformer,50,32,8,2,2,64,2,0.59,22658,0.71
FingerMovements,ETSformer,50,32,8,2,2,64,1,0.61,22658,0.71
FingerMovements,ETSformer,50,512,8,1,1,2048,4,0.61,2750594,20.27
FingerMovements,ETSformer,50,512,8,1,1,2048,3,0.62,2750594,20.27
FingerMovements,ETSformer,50,512,8,1,1,2048,2,0.61,2750594,20.27
FingerMovements,ETSformer,50,512,8,1,1,2048,1,0.62,2750594,20.27
FingerMovements,ETSformer,50,512,8,1,1,1024,4,0.53,1702018,16.27
FingerMovements,ETSformer,50,512,8,1,1,1024,3,0.54,1702018,16.27
FingerMovements,ETSformer,50,512,8,1,1,1024,2,0.55,1702018,16.27
FingerMovements,ETSformer,50,512,8,1,1,1024,1,0.59,1702018,16.27
FingerMovements,ETSformer,50,512,8,1,1,512,4,0.57,1177730,14.27
FingerMovements,ETSformer,50,512,8,1,1,512,3,0.55,1177730,14.27
FingerMovements,ETSformer,50,512,8,1,1,512,2,0.62,1177730,14.27
FingerMovements,ETSformer,50,512,8,1,1,512,1,0.61,1177730,14.27
FingerMovements,ETSformer,50,512,8,1,1,256,4,0.57,915586,13.27
FingerMovements,ETSformer,50,512,8,1,1,256,3,0.58,915586,13.27
FingerMovements,ETSformer,50,512,8,1,1,256,2,0.55,915586,13.27
FingerMovements,ETSformer,50,512,8,1,1,256,1,0.59,915586,13.27
FingerMovements,ETSformer,50,512,8,1,1,128,4,0.56,784514,12.77
FingerMovements,ETSformer,50,512,8,1,1,128,3,0.57,784514,12.77
FingerMovements,ETSformer,50,512,8,1,1,128,2,0.59,784514,12.77
FingerMovements,ETSformer,50,512,8,1,1,128,1,0.64,784514,12.77
FingerMovements,ETSformer,50,512,8,1,1,64,4,0.52,718978,12.52
FingerMovements,ETSformer,50,512,8,1,1,64,3,0.62,718978,12.52
FingerMovements,ETSformer,50,512,8,1,1,64,2,0.6,718978,12.52
FingerMovements,ETSformer,50,512,8,1,1,64,1,0.64,718978,12.52
FingerMovements,ETSformer,50,256,8,1,1,2048,4,0.57,1244290,9.64
FingerMovements,ETSformer,50,256,8,1,1,2048,3,0.56,1244290,9.64
FingerMovements,ETSformer,50,256,8,1,1,2048,2,0.61,1244290,9.64
FingerMovements,ETSformer,50,256,8,1,1,2048,1,0.6,1244290,9.64
FingerMovements,ETSformer,50,256,8,1,1,1024,4,0.56,720002,7.64
FingerMovements,ETSformer,50,256,8,1,1,1024,3,0.56,720002,7.64
FingerMovements,ETSformer,50,256,8,1,1,1024,2,0.57,720002,7.64
FingerMovements,ETSformer,50,256,8,1,1,1024,1,0.6,720002,7.64
FingerMovements,ETSformer,50,256,8,1,1,512,4,0.6,457858,6.64
FingerMovements,ETSformer,50,256,8,1,1,512,3,0.57,457858,6.64
FingerMovements,ETSformer,50,256,8,1,1,512,2,0.57,457858,6.64
FingerMovements,ETSformer,50,256,8,1,1,512,1,0.6,457858,6.64
FingerMovements,ETSformer,50,256,8,1,1,256,4,0.55,326786,6.14
FingerMovements,ETSformer,50,256,8,1,1,256,3,0.59,326786,6.14
FingerMovements,ETSformer,50,256,8,1,1,256,2,0.59,326786,6.14
FingerMovements,ETSformer,50,256,8,1,1,256,1,0.57,326786,6.14
FingerMovements,ETSformer,50,256,8,1,1,128,4,0.58,261250,5.89
FingerMovements,ETSformer,50,256,8,1,1,128,3,0.62,261250,5.89
FingerMovements,ETSformer,50,256,8,1,1,128,2,0.62,261250,5.89
FingerMovements,ETSformer,50,256,8,1,1,128,1,0.64,261250,5.89
FingerMovements,ETSformer,50,256,8,1,1,64,4,0.59,228482,5.76
FingerMovements,ETSformer,50,256,8,1,1,64,3,0.59,228482,5.76
FingerMovements,ETSformer,50,256,8,1,1,64,2,0.6,228482,5.76
FingerMovements,ETSformer,50,256,8,1,1,64,1,0.6,228482,5.76
FingerMovements,ETSformer,50,128,8,1,1,2048,4,0.57,589442,4.7
FingerMovements,ETSformer,50,128,8,1,1,2048,3,0.57,589442,4.7
